,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
63,150230 Capitão Poço,3,3,1469.57,1392.44,0.0,0.0,77.13,0.0,0,489.86,489.86,14,4.7,0,0.0,2018-01-01 00:01:00,CAPITÃO POÇO,-1.74618729323752,-47.0628253774009,64.787476
64,150240 Castanhal,5,5,3777.1,2917.75,0.0,0.0,859.35,0.0,0,755.42,755.42,19,3.8,0,0.0,2018-01-01 00:01:00,CASTANHAL,-1.29575680504525,-47.9266431419442,46.797427
65,150270 Conceição do Araguaia,6,6,3003.14,2848.88,0.0,0.0,154.26,0.0,0,500.52,500.52,16,2.7,0,0.0,2018-01-01 00:01:00,CONCEIÇÃO DO ARAGUAIA,-8.26486353,-49.2645008124957,180.163212
66,150276 Cumaru do Norte,3,3,1437.57,1360.44,0.0,0.0,77.13,0.0,0,479.19,479.19,6,2.0,0,0.0,2018-01-01 00:01:00,CUMARU DO NORTE,-7.81110653689927,-50.7715783775131,311.596246
67,150277 Curionópolis,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-01-01 00:01:00,CURIONÓPOLIS,-6.09681995220666,-49.6022142249504,210.954188
68,150280 Curralinho,3,3,1533.57,1456.44,0.0,0.0,77.13,0.0,0,511.19,511.19,15,5.0,0,0.0,2018-01-01 00:01:00,CURRALINHO,-1.80942341966693,-49.7915228470854,2.481094
69,150280 Curralinho,3,3,1533.57,1456.44,0.0,0.0,77.13,0.0,0,511.19,511.19,15,5.0,0,0.0,2018-01-01 00:01:00,CURRALINHO,-9.9876711168997,-36.6378491073912,111.086374
70,150280 Curralinho,3,3,1533.57,1456.44,0.0,0.0,77.13,0.0,0,511.19,511.19,15,5.0,0,0.0,2018-01-01 00:01:00,CURRALINHO,-13.5087415873631,-42.6457264659445,771.463924
71,150293 Dom Eliseu,3,3,1501.57,1424.44,0.0,0.0,77.13,0.0,0,500.52,500.52,8,2.7,0,0.0,2018-01-01 00:01:00,DOM ELISEU,-4.29077772,-47.5559148859934,261.070712
72,150295 Eldorado do Carajás,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,ELDORADO DO CARAJÁS,,,
73,150304 Floresta do Araguaia,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,4,2.0,0,0.0,2018-01-01 00:01:00,FLORESTA DO ARAGUAIA,-7.55870087237008,-49.6975784122373,187.622498
74,150309 Goianésia do Pará,4,4,2012.76,1909.92,0.0,0.0,102.84,0.0,0,503.19,503.19,19,4.8,0,0.0,2018-01-01 00:01:00,GOIANÉSIA DO PARÁ,-3.842468,-49.1010449237426,82.583803
75,150330 Igarapé-Miri,16,16,7931.04,7519.68,0.0,0.0,411.36,0.0,0,495.69,495.69,36,2.3,0,0.0,2018-01-01 00:01:00,IGARAPÉ-MIRI,-1.983116,-48.9622994689466,9.283106
76,150345 Ipixuna do Pará,4,4,1972.76,1869.92,0.0,0.0,102.84,0.0,0,493.19,493.19,41,10.3,0,0.0,2018-01-01 00:01:00,IPIXUNA DO PARÁ,-2.5575285,-47.4997175887983,46.116508
77,150360 Itaituba,3,3,1469.57,1392.44,0.0,0.0,77.13,0.0,0,489.86,489.86,7,2.3,0,0.0,2018-01-01 00:01:00,ITAITUBA,-4.26372948,-55.9900488572777,25.058629
78,150380 Jacundá,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,4,2.0,0,0.0,2018-01-01 00:01:00,JACUNDÁ,-4.448405475,-49.1127815625675,117.087267
79,150400 Limoeiro do Ajuru,6,6,2923.14,2768.88,0.0,0.0,154.26,0.0,0,487.19,487.19,12,2.0,0,0.0,2018-01-01 00:01:00,LIMOEIRO DO AJURU,-1.8919485,-49.3815339012019,7.667906
