"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210700 Montes Altos";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210710 Morros";7;7;3514,33;3334,36;-;-;179,97;-;-;502,05;502,05;21;3,0;-;-
"210720 Nina Rodrigues";5;5;2467,95;2339,40;-;-;128,55;-;-;493,59;493,59;15;3,0;-;-
"210725 Nova Colinas";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210745 Olinda Nova do Maranhão";8;8;3953,52;3747,84;-;-;205,68;-;-;494,19;494,19;15;1,9;-;-
"210760 Palmeirândia";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;14;2,3;-;-
"210770 Paraibano";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"210790 Passagem Franca";13;13;6317,47;5983,24;-;-;334,23;-;-;485,96;485,96;31;2,4;-;-
"210800 Pastos Bons";3;3;1501,57;1424,44;-;-;77,13;-;-;500,52;500,52;8;2,7;-;-
"210805 Paulino Neves";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"210810 Paulo Ramos";15;15;7339,85;6954,20;-;-;385,65;-;-;489,32;489,32;19;1,3;-;-
"210820 Pedreiras";29;29;14272,51;13526,92;-;-;745,59;-;-;492,16;492,16;55;1,9;-;-
"210825 Pedro do Rosário";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"210830 Penalva";4;4;1948,76;1845,92;-;-;102,84;-;-;487,19;487,19;4;1,0;-;-
"210840 Peri Mirim";5;5;2443,95;2315,40;-;-;128,55;-;-;488,79;488,79;6;1,2;-;-
"210845 Peritoró";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"210850 Pindaré-Mirim";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;12;2,0;-;-
"210860 Pinheiro";1;1;1140,62;1049,12;-;-;91,50;-;-;1140,62;1140,62;23;23,0;-;-
"210870 Pio XII";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"210880 Pirapemas";10;10;4959,90;4702,80;-;-;257,10;-;-;495,99;495,99;23;2,3;-;-
"210890 Poção de Pedras";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"210910 Presidente Dutra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"210920 Presidente Juscelino";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210927 Presidente Sarney";17;17;8146,23;7709,16;-;-;437,07;-;-;479,19;479,19;44;2,6;-;-
"210930 Presidente Vargas";4;4;1980,76;1877,92;-;-;102,84;-;-;495,19;495,19;12;3,0;-;-
"210940 Primeira Cruz";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"210960 Rosário";20;20;9615,80;9101,60;-;-;514,20;-;-;480,79;480,79;53;2,7;-;-
"210990 Santa Inês";5;5;2395,95;2267,40;-;-;128,55;-;-;479,19;479,19;12;2,4;-;-
"211000 Santa Luzia";5;5;2467,95;2339,40;-;-;128,55;-;-;493,59;493,59;16;3,2;-;-
"211010 Santa Quitéria do Maranhão";5;5;2475,95;2347,40;-;-;128,55;-;-;495,19;495,19;15;3,0;-;-
"211020 Santa Rita";15;15;7307,85;6922,20;-;-;385,65;-;-;487,19;487,19;31;2,1;-;-
"211040 São Benedito do Rio Preto";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"211050 São Bento";13;13;5908,27;5567,73;-;-;340,54;-;-;454,48;454,48;29;2,2;-;-
"211065 São Domingos do Azeitão";6;6;3011,14;2856,88;-;-;154,26;-;-;501,86;501,86;17;2,8;-;-
"211070 São Domingos do Maranhão";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"211107 São João do Soter";11;11;5535,09;5252,28;-;-;282,81;-;-;503,19;503,19;33;3,0;-;-
"211110 São João dos Patos";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;3;1,5;-;-
"211125 São José dos Basílios";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;6;3,0;-;-
"211130 São Luís";4;4;2059,23;1948,65;-;-;110,58;-;-;514,81;514,81;15;3,8;-;-
"211140 São Luís Gonzaga do Maranhão";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;18;3,0;-;-
"211160 São Raimundo das Mangabeiras";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"211163 São Raimundo do Doca Bezerra";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;3;1,0;-;-
